Commit,Status,Time(seconds),Notes,Command
https://github.com/microsoft/azure-maven-plugins/commit/6ad1fe2a0adc40c0c69e53538c66d3b3317c383e,UP,,,
https://github.com/microsoft/azure-maven-plugins/commit/fff9ad4eebff218939f616ce0292184525868df0,UP,,(patch not covered according to clover and intelliJ),
https://github.com/microsoft/azure-maven-plugins/commit/3dca90b2af209f504bcc185b40279b35da62df06,UP,,(patch not covered according to clover and Intellij),
https://github.com/microsoft/azure-maven-plugins/commit/d27f835111379f3653cf1fc992e6394b6025a75a,UP,,,
https://github.com/microsoft/azure-maven-plugins/commit/a3cbfd0e5f87457a49dd9c9b6c34f5e9f7e082d6,M,,(merge commit),
https://github.com/microsoft/azure-maven-plugins/commit/80d0bd376c0bc3b2cbdeb8075e0e26a7a269c104,UP,,(patch not covered according to clover and Intellij),
https://github.com/microsoft/azure-maven-plugins/commit/d85f0ffcd3ff891fc4b56c994f01adc2433c4335,UP,,(patch not covered according to clover),
https://github.com/microsoft/azure-maven-plugins/commit/7ea0ee2e583c433a7228948eb2fd4083b3c468e3,UP,,(patch not covered according to clover),
https://github.com/microsoft/azure-maven-plugins/commit/51dc2aa656d884144904ec4edb91f428c1dcebfe,M,,(merge commit),
https://github.com/microsoft/azure-maven-plugins/commit/a5115bc932bc0e2c17f22137af7db7419777993f,UP,,(patch not covered according to clover),
https://github.com/microsoft/azure-maven-plugins/commit/131edca388b55acb75da46372de696e56c80587e,UP,,(file not included in clover report),
https://github.com/microsoft/azure-maven-plugins/commit/f9461cf8c7b9d8395af920d548d8ddb5e44ba980,UP,,(patch not covered according to clover),
https://github.com/spotify/styx/commit/e3c79cd959b5bb11b5445173a6f8c177dc781815,TC,,(fatal error compiling. requires changing pom),
https://github.com/smart-cloud/smart-cloud/commit/c402ff1212526908d691f19b638cbc071fd6619b,TC,,(mvn test-compile fails),
https://github.com/mariadb-corporation/mariadb-connector-j/commit/e60dd939f9e82f8f457383a791112cfc6f91ec05,TC,,(connection refused to some database) (could not find test by running all tests. test exist - https://app.codecov.io/gh/smart-cloud/smart-cloud/commit/c402ff1212526908d691f19b638cbc071fd6619b/smart-cloud-starter/smart-cloud-starter-redis/src/main/java/io/github/smart/cloud/starter/redis/intercept/AbstractRedisInterceptor.java),
https://github.com/mariadb-corporation/mariadb-connector-j/commit/745ba2b7616d4058e8440107fd5f43643f9bed64,TC,,(could not find test by running all tests. test exist - https://app.codecov.io/gh/mariadb-corporation/mariadb-connector-j/commit/745ba2b7616d4058e8440107fd5f43643f9bed64/src/main/java/org/mariadb/jdbc/client/impl/MultiPrimaryClient.java),
